Season,Tour,Date,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee,MatchID
2017/18,1,2017-08-11,2024-03-25T20:45:00.000Z,Leicester,home,4,3,Emirates Stadium,59387,Arsène Wenger,Mike Dean,0
2017/18,2,2017-08-19,2024-03-25T18:30:00.000Z,Stoke City,away,0,1,bet365 Stadium,29459,Arsène Wenger,Andre Marriner,1
2017/18,3,2017-08-27,2024-03-25T17:00:00.000Z,Liverpool,away,0,4,Anfield,53206,Arsène Wenger,Craig Pawson,2
2017/18,4,2017-09-09,2024-03-25T16:00:00.000Z,Bournemouth,home,3,0,Emirates Stadium,59262,Arsène Wenger,Anthony Taylor,3
2017/18,5,2017-09-17,2024-03-25T14:30:00.000Z,Chelsea,away,0,0,Stamford Bridge,41478,Arsène Wenger,Michael Oliver,4
2017/18,6,2017-09-25,2024-03-25T21:00:00.000Z,West Brom,home,2,0,Emirates Stadium,59134,Arsène Wenger,Bobby Madley,5
2017/18,7,2017-10-01,2024-03-25T13:00:00.000Z,Brighton,home,2,0,Emirates Stadium,59378,Arsène Wenger,Kevin Friend,6
2017/18,8,2017-10-14,2024-03-25T18:30:00.000Z,Watford,away,1,2,Vicarage Road,20384,Arsène Wenger,Neil Swarbrick,7
2017/18,9,2017-10-22,2024-03-25T14:30:00.000Z,Everton,away,5,2,Goodison Park,39189,Arsène Wenger,Craig Pawson,8
2017/18,10,2017-10-28,2024-03-25T16:00:00.000Z,Swansea,home,2,1,Emirates Stadium,59493,Arsène Wenger,Lee Mason,9
2017/18,11,2017-11-05,2024-03-25T15:15:00.000Z,Man City,away,1,3,Etihad Stadium,54286,Arsène Wenger,Michael Oliver,10
2017/18,12,2017-11-18,2024-03-25T13:30:00.000Z,Tottenham,home,2,0,Emirates Stadium,59530,Arsène Wenger,Mike Dean,11
2017/18,13,2017-11-26,2024-03-25T15:00:00.000Z,Burnley,away,1,0,Turf Moor,21722,Arsène Wenger,Lee Mason,12
2017/18,14,2017-11-29,2024-03-25T20:45:00.000Z,Huddersfield,home,5,0,Emirates Stadium,59285,Arsène Wenger,Graham Scott,13
2017/18,15,2017-12-02,2024-03-25T18:30:00.000Z,Man Utd,home,1,3,Emirates Stadium,59547,Arsène Wenger,Andre Marriner,14
2017/18,16,2017-12-10,2024-03-25T13:00:00.000Z,Southampton,away,1,1,St Mary's Stadium,31643,Arsène Wenger,Bobby Madley,15
2017/18,17,2017-12-13,2024-03-25T21:00:00.000Z,West Ham,away,0,0,London Stadium,56925,Arsène Wenger,Jonathan Moss,16
2017/18,18,2017-12-16,2024-03-25T16:00:00.000Z,Newcastle,home,1,0,Emirates Stadium,59379,Arsène Wenger,Stuart Attwell,17
2017/18,19,2017-12-22,2024-03-25T20:45:00.000Z,Liverpool,home,3,3,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18
2017/18,20,2017-12-28,2024-03-25T21:00:00.000Z,Crystal Palace,away,3,2,Selhurst Park,25762,Arsène Wenger,Michael Oliver,19
2017/18,21,2017-12-31,2024-03-25T17:30:00.000Z,West Brom,away,1,1,The Hawthorns,26233,Arsène Wenger,Mike Dean,20
2017/18,22,2018-01-03,2024-03-25T20:45:00.000Z,Chelsea,home,2,2,Emirates Stadium,59379,Arsène Wenger,Anthony Taylor,21
2017/18,23,2018-01-14,2024-03-25T14:30:00.000Z,Bournemouth,away,1,2,Vitality Stadium,10836,Arsène Wenger,Kevin Friend,22
2017/18,24,2018-01-20,2024-03-25T16:00:00.000Z,Crystal Palace,home,4,1,Emirates Stadium,59386,Arsène Wenger,Chris Kavanagh,23
2017/18,25,2018-01-30,2024-03-25T20:45:00.000Z,Swansea,away,1,3,Swansea.com Stadium,20819,Arsène Wenger,Lee Mason,24
2017/18,26,2018-02-03,2024-03-25T18:30:00.000Z,Everton,home,5,1,Emirates Stadium,59306,Arsène Wenger,Neil Swarbrick,25
2017/18,27,2018-02-10,2024-03-25T13:30:00.000Z,Tottenham,away,0,1,Wembley Stadium,83222,Arsène Wenger,Anthony Taylor,26
2017/18,28,2018-03-01,2024-03-25T20:45:00.000Z,Man City,home,0,3,Emirates Stadium,58420,Arsène Wenger,Andre Marriner,27
2017/18,29,2018-03-04,2024-03-25T14:30:00.000Z,Brighton,away,1,2,AMEX Stadium,30620,Arsène Wenger,Stuart Attwell,28
2017/18,30,2018-03-11,2024-03-25T14:30:00.000Z,Watford,home,3,0,Emirates Stadium,59131,Arsène Wenger,Martin Atkinson,29
2017/18,32,2018-04-01,2024-03-25T14:30:00.000Z,Stoke City,home,3,0,Emirates Stadium,59371,Arsène Wenger,Craig Pawson,30
2017/18,33,2018-04-08,2024-03-25T15:15:00.000Z,Southampton,home,3,2,Emirates Stadium,59374,Arsène Wenger,Andre Marriner,31
2017/18,34,2018-04-15,2024-03-25T14:30:00.000Z,Newcastle,away,1,2,St James' Park,52210,Arsène Wenger,Anthony Taylor,32
2017/18,35,2018-04-22,2024-03-25T14:30:00.000Z,West Ham,home,4,1,Emirates Stadium,59422,Arsène Wenger,Lee Mason,33
2017/18,36,2018-04-29,2024-03-25T17:30:00.000Z,Man Utd,away,1,2,Old Trafford,75035,Arsène Wenger,Kevin Friend,34
2017/18,37,2018-05-06,2024-03-25T17:30:00.000Z,Burnley,home,5,0,Emirates Stadium,59540,Arsène Wenger,Andre Marriner,35
2017/18,31,2018-05-09,2024-03-25T20:45:00.000Z,Leicester,away,1,3,King Power Stadium,32095,Arsène Wenger,Graham Scott,36
2017/18,38,2018-05-13,2024-03-25T16:00:00.000Z,Huddersfield,away,1,0,John Smith's Stadium,24122,Arsène Wenger,Michael Oliver,37
2018/19,1,2018-08-12,2024-03-25T17:00:00.000Z,Man City,home,0,2,Emirates Stadium,59934,Unai Emery,Michael Oliver,38
2018/19,2,2018-08-18,2024-03-25T18:30:00.000Z,Chelsea,away,2,3,Stamford Bridge,40491,Unai Emery,Martin Atkinson,39
2018/19,3,2018-08-25,2024-03-25T16:00:00.000Z,West Ham,home,3,1,Emirates Stadium,59830,Unai Emery,Graham Scott,40
2018/19,4,2018-09-02,2024-03-25T14:30:00.000Z,Cardiff,away,3,2,Cardiff City Stadium,32316,Unai Emery,Anthony Taylor,41
2018/19,5,2018-09-15,2024-03-25T16:00:00.000Z,Newcastle,away,2,1,St James' Park,52165,Unai Emery,Lee Probert,42
2018/19,6,2018-09-23,2024-03-25T17:00:00.000Z,Everton,home,2,0,Emirates Stadium,59964,Unai Emery,Jonathan Moss,43
2018/19,7,2018-09-29,2024-03-25T16:00:00.000Z,Watford,home,2,0,Emirates Stadium,60019,Unai Emery,Anthony Taylor,44
2018/19,8,2018-10-07,2024-03-25T13:00:00.000Z,Fulham,away,5,1,Craven Cottage,25401,Unai Emery,Paul Tierney,45
2018/19,9,2018-10-22,2024-03-25T21:00:00.000Z,Leicester,home,3,1,Emirates Stadium,59886,Unai Emery,Chris Kavanagh,46
2018/19,10,2018-10-28,2024-03-25T14:30:00.000Z,Crystal Palace,away,2,2,Selhurst Park,25718,Unai Emery,Martin Atkinson,47
2018/19,11,2018-11-03,2024-03-25T18:30:00.000Z,Liverpool,home,1,1,Emirates Stadium,59993,Unai Emery,Andre Marriner,48
2018/19,12,2018-11-11,2024-03-25T17:30:00.000Z,Wolves,home,1,1,Emirates Stadium,60030,Unai Emery,Stuart Attwell,49
2018/19,13,2018-11-25,2024-03-25T14:30:00.000Z,Bournemouth,away,2,1,Vitality Stadium,10792,Unai Emery,Craig Pawson,50
2018/19,14,2018-12-02,2024-03-25T15:05:00.000Z,Tottenham,home,4,2,Emirates Stadium,59973,Unai Emery,Mike Dean,51
2018/19,15,2018-12-05,2024-03-25T21:00:00.000Z,Man Utd,away,2,2,Old Trafford,74507,Unai Emery,Andre Marriner,52
2018/19,16,2018-12-08,2024-03-25T16:00:00.000Z,Huddersfield,home,1,0,Emirates Stadium,59893,Unai Emery,Paul Tierney,53
2018/19,17,2018-12-16,2024-03-25T14:30:00.000Z,Southampton,away,2,3,St Mary's Stadium,29497,Unai Emery,Chris Kavanagh,54
2018/19,18,2018-12-22,2024-03-25T13:30:00.000Z,Burnley,home,3,1,Emirates Stadium,59493,Unai Emery,Kevin Friend,55
2018/19,19,2018-12-26,2024-03-25T18:15:00.000Z,Brighton,away,1,1,AMEX Stadium,30608,Unai Emery,Anthony Taylor,56
