Date,ArsenalScore,OpponentScore,Attendance,MatchID,Start,Pos,Min,G,A,PK,PKA,S,SoT,YK,RK,Touches,Tackles,Ints,Blocks,xG,npxG,xAG,Passes,PassesA,PrgPas,Carries,PrgCar,PlayerID
2017-08-11,4,3,59387,0,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,0,1,29459,1,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27,0,4,53206,2,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09,3,0,59262,3,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17,0,0,41478,4,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-25,2,0,59134,5,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,2,0,59378,6,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-14,1,2,20384,7,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-22,5,2,39189,8,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,2,1,59493,9,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-05,1,3,54286,10,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-18,2,0,59530,11,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-26,1,0,21722,12,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-29,5,0,59285,13,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-02,1,3,59547,14,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-10,1,1,31643,15,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-13,0,0,56925,16,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-16,1,0,59379,17,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-22,3,3,59409,18,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-28,3,2,25762,19,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1,1,26233,20,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,2,2,59379,21,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,1,2,10836,22,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,4,1,59386,23,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,1,3,20819,24,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,5,1,59306,25,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,0,1,83222,26,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,0,3,58420,27,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,1,2,30620,28,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,3,0,59131,29,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,3,0,59371,30,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,3,2,59374,31,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,1,2,52210,32,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22,4,1,59422,33,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-29,1,2,75035,34,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-06,5,0,59540,35,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,1,3,32095,36,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-13,1,0,24122,37,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,0,2,59934,38,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-18,2,3,40491,39,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-25,3,1,59830,40,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,3,2,32316,41,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-15,2,1,52165,42,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,2,0,59964,43,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,2,0,60019,44,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,5,1,25401,45,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,3,1,59886,46,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,2,2,25718,47,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-03,1,1,59993,48,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-11,1,1,60030,49,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,2,1,10792,50,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-02,4,2,59973,51,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,2,2,74507,52,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-08,1,0,59893,53,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-16,2,3,29497,54,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-22,3,1,59493,55,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,1,1,30608,56,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-29,1,5,53326,57,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,4,1,59887,58,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,0,1,59946,59,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,2,0,59979,60,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,2,1,59933,61,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-03,1,3,54483,62,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-09,2,1,24182,63,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-24,2,0,59877,64,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,5,1,59618,65,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-02,1,1,81332,66,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-10,2,0,60000,67,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,2,0,59869,68,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-07,0,1,39400,69,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,1,0,20480,70,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-21,2,3,59929,71,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-24,1,3,31436,72,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-28,0,3,32037,73,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-05,1,1,59965,74,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-12,3,1,21461,75,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-11,1,0,47635,76,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-17,2,1,60214,77,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,1,3,53298,78,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,2,2,60333,79,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,2,2,21360,80,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,3,2,60331,81,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,1,1,73201,82,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-06,1,0,60326,83,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-21,0,1,30775,84,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27,2,2,60345,85,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-02,1,1,60383,86,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-09,0,2,32209,87,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-23,2,2,60295,88,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,2,2,27067,89,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05,1,2,60164,90,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-09,3,1,59936,91,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-15,0,3,60031,92,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-21,0,0,39336,93,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,1,1,10234,94,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-29,1,2,60309,95,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,2,0,60328,96,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,1,1,25468,97,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,1,1,60310,98,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,2,2,40577,99,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,0,0,21048,100,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,4,0,60188,101,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,3,2,60296,102,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,0,60335,103,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,0,3,0,104,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-20,1,2,0,105,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,2,0,0,106,,,,,,,,,,,,,,,,,,,,,,,,
