FormattedDate,Season,Tour,Time,Opponent,HoAw,Stadium,Attendance,Coach,Referee,MatchID,fullname,LastName,FirstName,Start,Pos,Line,C,PlayerID
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Mesut Ozil,Ozil,Mesut,1,AM,Midfielder,0,53
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Alex Iwobi,Iwobi,Alex,1,RW,Forward,0,50
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Granit Xhaka,Xhaka,Granit,1,DM,Midfielder,0,44
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Laurent Koscielny,Koscielny,Laurent,1,CB,Defender,1,43
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Alexis Sanchez,Sanchez,Alexis,1,LW,Forward,0,41
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Ainsley Maitland-Niles,Maitland-Niles,Ainsley,1,LB,Defender,0,38
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Jack Wilshere,Wilshere,Jack,1,DM,Midfielder,0,29
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Nacho Monreal,Monreal,Nacho,1,CB,Defender,0,21
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Danny Welbeck,Welbeck,Danny,0,RW,Forward,0,13
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Alexandre Lacazette,Lacazette,Alexandre,1,FW,Forward,0,10
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Shkodran Mustafi,Mustafi,Shkodran,0,CB,Defender,0,8
2017-12-22,2017/18,19,20:45:00,Liverpool,home,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson,18,Hector Bellerin,Bellerin,Hector,1,RB,Defender,0,2
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Gabriel Magalhaes,Magalhaes,Gabriel,1,CB,Defender,0,54
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Mohamed Elneny,Elneny,Mohamed,1,CM,Midfielder,0,49
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Granit Xhaka,Xhaka,Granit,1,CM,Midfielder,0,44
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Ainsley Maitland-Niles,Maitland-Niles,Ainsley,1,LM,Midfielder,0,38
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Pierre-Emerick Aubameyang,Aubameyang,Pierre-Emerick,1,LW,Forward,1,39
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Eddie Nketiah,Nketiah,Eddie,0,FW,Forward,0,37
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Nicolas Pepe,Pepe,Nicolas,0,RW,Forward,0,32
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Rob Holding,Holding,Rob,1,CB,Defender,0,26
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Kieran Willian,Willian,Kieran,1,RW,Forward,0,11
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Alexandre Lacazette,Lacazette,Alexandre,1,FW,Forward,0,10
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Daniel Ceballos,Ceballos,Daniel,0,CM,Midfielder,0,9
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Kieran Tierney,Tierney,Kieran,1,CB,Defender,0,7
2020-09-12,2020/21,1,13:30:00,Fulham,away,Craven Cottage,0,Mikel Arteta,Chris Kavanagh,114,Hector Bellerin,Bellerin,Hector,1,RM,Midfielder,0,2
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Pierre-Emerick Aubameyang,Aubameyang,Pierre-Emerick,1,LW,Forward,1,39
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Eddie Nketiah,Nketiah,Eddie,0,RW,Forward,0,37
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Nicolas Pepe,Pepe,Nicolas,1,RW,Forward,0,32
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Matteo Guendouzi,Guendouzi,Matteo,1,CM,Midfielder,0,30
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Rob Holding,Holding,Rob,1,CB,Defender,0,26
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Reiss Nelson,Nelson,Reiss,0,RM,Midfielder,0,24
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Sead Kolasinac,Kolasinac,Sead,1,LB,Defender,0,18
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Alexandre Lacazette,Lacazette,Alexandre,1,FW,Forward,0,10
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Shkodran Mustafi,Mustafi,Shkodran,1,CB,Defender,0,8
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Daniel Ceballos,Ceballos,Daniel,1,RM,Midfielder,0,9
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Kieran Tierney,Tierney,Kieran,0,LW,Forward,0,7
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Bukayo Saka,Saka,Bukayo,1,LM,Midfielder,0,6
2020-06-20,2019/20,30,16:00:00,Brighton,away,AMEX Stadium,0,Mikel Arteta,Martin Atkinson,105,Joe Willock,Willock,Joe,0,CM,Midfielder,0,3
