Hector Bellerin,Bellerin,Hector,8/11/2017,1,WB,90,0,0,0,0,1,1,0,0,79,3,0,0,0.3,0.3,0.0,61,70,3,51,1,Defender,0,2
Mohamed Elneny,Elneny,Mohamed,8/11/2017,1,CM,66,0,1,0,0,1,0,0,0,82,4,0,2,0.0,0.0,0.1,65,72,4,57,0,Midfielder,0,49
Rob Holding,Holding,Rob,8/11/2017,1,CB,66,0,0,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.0,50,60,4,50,1,Defender,0,26
Sead Kolasinac,Kolasinac,Sead,8/11/2017,1,CB,90,0,1,0,0,1,1,0,0,81,4,1,0,0.0,0.0,0.6,59,73,9,49,7,Defender,0,18
Alexandre Lacazette,Lacazette,Alexandre,8/11/2017,1,FW,90,1,0,0,0,3,2,0,0,34,2,0,1,0.3,0.3,0.4,20,24,3,19,1,Forward,0,10
Nacho Monreal,Monreal,Nacho,8/11/2017,1,CB,90,0,0,0,0,0,0,0,0,70,2,5,0,0.0,0.0,0.0,54,57,3,43,1,Defender,0,21
Mesut Ozil,Ozil,Mesut,8/11/2017,1,AM,90,0,0,0,0,3,0,0,0,95,1,0,1,0.1,0.1,0.6,70,86,6,69,3,Midfielder,0,53
Danny Welbeck,Welbeck,Danny,8/11/2017,1,AM,74,1,0,0,0,3,1,0,0,31,1,1,0,1.0,1.0,0.4,16,21,2,18,3,Midfielder,0,13
Granit Xhaka,Xhaka,Granit,8/11/2017,1,CM,90,0,2,0,0,4,1,0,0,114,1,1,1,0.1,0.1,0.2,86,106,20,80,4,Midfielder,0,44
Aaron Ramsey,Ramsey,Aaron,8/11/2017,0,DM,24,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,9,12,1,13,0,Midfielder,0,5
Hector Bellerin,Bellerin,Hector,8/19/2017,1,WB,90,0,0,0,0,2,1,0,0,83,2,0,0,0.1,0.1,0.0,66,77,6,47,2,Defender,0,2
Sead Kolasinac,Kolasinac,Sead,8/19/2017,1,CB,65,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,52,58,5,43,2,Defender,0,18
Alexandre Lacazette,Lacazette,Alexandre,8/19/2017,1,FW,77,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,29,39,4,28,1,Forward,0,10
Nacho Monreal,Monreal,Nacho,8/19/2017,1,CB,90,0,0,0,0,0,0,0,0,88,3,0,0,0.0,0.0,0.1,76,83,2,61,0,Defender,0,21
Shkodran Mustafi,Mustafi,Shkodran,8/19/2017,1,CB,90,0,0,0,0,1,0,0,0,95,3,1,0,0.0,0.0,0.1,76,89,6,72,3,Defender,0,8
Mesut Ozil,Ozil,Mesut,8/19/2017,1,AM,90,0,0,0,0,2,0,0,0,106,0,0,0,0.1,0.1,0.5,94,103,15,84,7,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,8/19/2017,1,CM,90,0,0,0,0,4,2,0,0,96,3,0,1,0.5,0.5,0.0,74,85,12,73,1,Midfielder,0,5
Danny Welbeck,Welbeck,Danny,8/19/2017,1,AM,90,0,0,0,0,3,2,0,0,32,1,0,0,0.6,0.6,0.0,19,24,2,28,3,Midfielder,0,13
Granit Xhaka,Xhaka,Granit,8/19/2017,1,CM,78,0,0,0,0,2,1,0,0,113,0,3,0,0.1,0.1,0.1,86,106,17,85,3,Midfielder,0,44
Alex Iwobi,Iwobi,Alex,8/19/2017,0,DM,12,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,22,24,6,21,2,Midfielder,0,50
Hector Bellerin,Bellerin,Hector,8/27/2017,1,RB,90,0,0,0,0,0,0,0,0,60,0,1,0,0.0,0.0,0.0,40,51,6,31,3,Defender,0,2
Rob Holding,Holding,Rob,8/27/2017,1,CB,90,0,0,0,0,1,0,1,0,75,1,3,0,0.1,0.1,0.0,45,63,3,49,0,Defender,0,26
Laurent Koscielny,Koscielny,Laurent,8/27/2017,1,CB,90,0,0,0,0,0,0,0,0,87,2,4,2,0.0,0.0,0.0,61,71,2,51,0,Defender,1,43
Nacho Monreal,Monreal,Nacho,8/27/2017,1,LB,90,0,0,0,0,0,0,0,0,73,2,3,0,0.0,0.0,0.0,51,61,2,39,0,Defender,0,21
Mesut Ozil,Ozil,Mesut,8/27/2017,1,AM,90,0,0,0,0,2,0,1,0,63,1,2,0,0.1,0.1,0.2,41,56,7,53,2,Midfielder,0,53
Aaron Ramsey,Ramsey,Aaron,8/27/2017,1,CM,45,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.0,23,25,3,23,0,Midfielder,0,5
Alexis Sanchez,Sanchez,Alexis,8/27/2017,1,AM,61,0,0,0,0,1,0,0,0,40,2,0,0,0.0,0.0,0.1,21,33,5,27,2,Midfielder,0,41
Danny Welbeck,Welbeck,Danny,8/27/2017,1,FW,90,0,0,0,0,1,0,1,0,31,2,0,2,0.1,0.1,0.0,19,24,1,22,2,Forward,0,13
