Season,Tour,Date,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee
2017/18,1,2017-08-11,20:45:00,Leicester,home,4,3,Emirates Stadium,59387,Arsène Wenger,Mike Dean
2017/18,2,2017-08-19,18:30:00,Stoke City,away,0,1,bet365 Stadium,29459,Arsène Wenger,Andre Marriner
2017/18,3,2017-08-27,17:00:00,Liverpool,away,0,4,Anfield,53206,Arsène Wenger,Craig Pawson
2017/18,4,2017-09-09,16:00:00,Bournemouth,home,3,0,Emirates Stadium,59262,Arsène Wenger,Anthony Taylor
2017/18,5,2017-09-17,14:30:00,Chelsea,away,0,0,Stamford Bridge,41478,Arsène Wenger,Michael Oliver
2017/18,6,2017-09-25,21:00:00,West Brom,home,2,0,Emirates Stadium,59134,Arsène Wenger,Bobby Madley
2017/18,7,2017-10-01,13:00:00,Brighton,home,2,0,Emirates Stadium,59378,Arsène Wenger,Kevin Friend
2017/18,8,2017-10-14,18:30:00,Watford,away,1,2,Vicarage Road,20384,Arsène Wenger,Neil Swarbrick
2017/18,9,2017-10-22,14:30:00,Everton,away,5,2,Goodison Park,39189,Arsène Wenger,Craig Pawson
2017/18,10,2017-10-28,16:00:00,Swansea,home,2,1,Emirates Stadium,59493,Arsène Wenger,Lee Mason
2017/18,11,2017-11-05,15:15:00,Man City,away,1,3,Etihad Stadium,54286,Arsène Wenger,Michael Oliver
2017/18,12,2017-11-18,13:30:00,Tottenham,home,2,0,Emirates Stadium,59530,Arsène Wenger,Mike Dean
2017/18,13,2017-11-26,15:00:00,Burnley,away,1,0,Turf Moor,21722,Arsène Wenger,Lee Mason
2017/18,14,2017-11-29,20:45:00,Huddersfield,home,5,0,Emirates Stadium,59285,Arsène Wenger,Graham Scott
2017/18,15,2017-12-02,18:30:00,Man Utd,home,1,3,Emirates Stadium,59547,Arsène Wenger,Andre Marriner
2017/18,16,2017-12-10,13:00:00,Southampton,away,1,1,St Mary's Stadium,31643,Arsène Wenger,Bobby Madley
2017/18,17,2017-12-13,21:00:00,West Ham,away,0,0,London Stadium,56925,Arsène Wenger,Jonathan Moss
2017/18,18,2017-12-16,16:00:00,Newcastle,home,1,0,Emirates Stadium,59379,Arsène Wenger,Stuart Attwell
2017/18,19,2017-12-22,20:45:00,Liverpool,home,3,3,Emirates Stadium,59409,Arsène Wenger,Martin Atkinson
2017/18,20,2017-12-28,21:00:00,Crystal Palace,away,3,2,Selhurst Park,25762,Arsène Wenger,Michael Oliver
2017/18,21,2017-12-31,17:30:00,West Brom,away,1,1,The Hawthorns,26233,Arsène Wenger,Mike Dean
2017/18,22,2018-01-03,20:45:00,Chelsea,home,2,2,Emirates Stadium,59379,Arsène Wenger,Anthony Taylor
2017/18,23,2018-01-14,14:30:00,Bournemouth,away,1,2,Vitality Stadium,10836,Arsène Wenger,Kevin Friend
2017/18,24,2018-01-20,16:00:00,Crystal Palace,home,4,1,Emirates Stadium,59386,Arsène Wenger,Chris Kavanagh
2017/18,25,2018-01-30,20:45:00,Swansea,away,1,3,Swansea.com Stadium,20819,Arsène Wenger,Lee Mason
2017/18,26,2018-02-03,18:30:00,Everton,home,5,1,Emirates Stadium,59306,Arsène Wenger,Neil Swarbrick
2017/18,27,2018-02-10,13:30:00,Tottenham,away,0,1,Wembley Stadium,83222,Arsène Wenger,Anthony Taylor
2017/18,28,2018-03-01,20:45:00,Man City,home,0,3,Emirates Stadium,58420,Arsène Wenger,Andre Marriner
2017/18,29,2018-03-04,14:30:00,Brighton,away,1,2,AMEX Stadium,30620,Arsène Wenger,Stuart Attwell
2017/18,30,2018-03-11,14:30:00,Watford,home,3,0,Emirates Stadium,59131,Arsène Wenger,Martin Atkinson
2017/18,32,2018-04-01,14:30:00,Stoke City,home,3,0,Emirates Stadium,59371,Arsène Wenger,Craig Pawson
2017/18,33,2018-04-08,15:15:00,Southampton,home,3,2,Emirates Stadium,59374,Arsène Wenger,Andre Marriner
2017/18,34,2018-04-15,14:30:00,Newcastle,away,1,2,St James' Park,52210,Arsène Wenger,Anthony Taylor
2017/18,35,2018-04-22,14:30:00,West Ham,home,4,1,Emirates Stadium,59422,Arsène Wenger,Lee Mason
2017/18,36,2018-04-29,17:30:00,Man Utd,away,1,2,Old Trafford,75035,Arsène Wenger,Kevin Friend
2017/18,37,2018-05-06,17:30:00,Burnley,home,5,0,Emirates Stadium,59540,Arsène Wenger,Andre Marriner
2017/18,31,2018-05-09,20:45:00,Leicester,away,1,3,King Power Stadium,32095,Arsène Wenger,Graham Scott
2017/18,38,2018-05-13,16:00:00,Huddersfield,away,1,0,John Smith's Stadium,24122,Arsène Wenger,Michael Oliver
2018/19,1,2018-08-12,17:00:00,Man City,home,0,2,Emirates Stadium,59934,Unai Emery,Michael Oliver
2018/19,2,2018-08-18,18:30:00,Chelsea,away,2,3,Stamford Bridge,40491,Unai Emery,Martin Atkinson
2018/19,3,2018-08-25,16:00:00,West Ham,home,3,1,Emirates Stadium,59830,Unai Emery,Graham Scott
2018/19,4,2018-09-02,14:30:00,Cardiff,away,3,2,Cardiff City Stadium,32316,Unai Emery,Anthony Taylor
2018/19,5,2018-09-15,16:00:00,Newcastle,away,2,1,St James' Park,52165,Unai Emery,Lee Probert
2018/19,6,2018-09-23,17:00:00,Everton,home,2,0,Emirates Stadium,59964,Unai Emery,Jonathan Moss
2018/19,7,2018-09-29,16:00:00,Watford,home,2,0,Emirates Stadium,60019,Unai Emery,Anthony Taylor
2018/19,8,2018-10-07,13:00:00,Fulham,away,5,1,Craven Cottage,25401,Unai Emery,Paul Tierney
2018/19,9,2018-10-22,21:00:00,Leicester,home,3,1,Emirates Stadium,59886,Unai Emery,Chris Kavanagh
2018/19,10,2018-10-28,14:30:00,Crystal Palace,away,2,2,Selhurst Park,25718,Unai Emery,Martin Atkinson
2018/19,11,2018-11-03,18:30:00,Liverpool,home,1,1,Emirates Stadium,59993,Unai Emery,Andre Marriner
2018/19,12,2018-11-11,17:30:00,Wolves,home,1,1,Emirates Stadium,60030,Unai Emery,Stuart Attwell
2018/19,13,2018-11-25,14:30:00,Bournemouth,away,2,1,Vitality Stadium,10792,Unai Emery,Craig Pawson
2018/19,14,2018-12-02,15:05:00,Tottenham,home,4,2,Emirates Stadium,59973,Unai Emery,Mike Dean
2018/19,15,2018-12-05,21:00:00,Man Utd,away,2,2,Old Trafford,74507,Unai Emery,Andre Marriner
2018/19,16,2018-12-08,16:00:00,Huddersfield,home,1,0,Emirates Stadium,59893,Unai Emery,Paul Tierney
